week,teamid,score
1,1,93.7
2,1,164.7
3,1,165.9
4,1,210.9
5,1,120.95
6,1,139.45
7,1,83.1
8,1,157.8
9,1,136.1
10,1,145.95
11,1,138.15
12,1,157.65
13,1,149.8
14,1,165.35
15,1,145.7
16,1,132.75
17,1,159.15
18,1,116.65
1,2,148.2
2,2,139.55
3,2,167.55
4,2,130.1
5,2,87.05
6,2,91.4
7,2,98.65
8,2,159.5
9,2,140.1
10,2,131.7
11,2,129.35
12,2,151.75
13,2,149.55
14,2,138.55
15,2,118.3
16,2,123.65
17,2,121.55
18,2,138.25
1,3,124.35
2,3,88.7
3,3,118.25
4,3,158.3
5,3,123.6
6,3,137.95
7,3,150.8
8,3,151.3
9,3,105.45
10,3,129.85
11,3,78.2
12,3,120.3
13,3,157.3
14,3,102.95
15,3,116.75
16,3,111.2
17,3,136.9
18,3,95.4
1,4,149.4
2,4,159
3,4,157.9
4,4,97.7
5,4,154.45
6,4,127.65
7,4,127.75
8,4,132.5
9,4,122.2
10,4,121.85
11,4,156.65
12,4,138.85
13,4,165.1
14,4,107.7
15,4,107.1
16,4,138.35
17,4,98.85
18,4,88.65
1,5,127.8
2,5,176.75
3,5,156.9
4,5,108.05
5,5,113.75
6,5,130.5
7,5,108.5
8,5,71.5
9,5,126.65
10,5,118.9
11,5,91.75
12,5,158.3
13,5,90.6
14,5,98.9
15,5,151.7
16,5,119.35
17,5,115.1
18,5,163.2
1,6,95.8
2,6,109.05
3,6,165.95
4,6,107.45
5,6,112.35
6,6,83.8
7,6,121.25
8,6,119.75
9,6,120.65
10,6,151.6
11,6,123.4
12,6,119.5
13,6,113.8
14,6,91.05
15,6,136.2
16,6,96.9
17,6,90.35
18,6,116.3
1,7,98.55
2,7,127.95
3,7,132.55
4,7,92.15
5,7,214.7
6,7,119.35
7,7,143.95
8,7,157.05
9,7,100.05
10,7,93.35
11,7,147.3
12,7,99.95
13,7,113.9
14,7,161.4
15,7,77.65
16,7,129.2
17,7,147.95
18,7,141.4
1,8,130.25
2,8,111.55
3,8,137.85
4,8,107.05
5,8,103.4
6,8,110.45
7,8,109.15
8,8,146.3
9,8,156.05
10,8,155.95
11,8,116.7
12,8,132.25
13,8,133.6
14,8,76
15,8,159.9
16,8,142.1
17,8,138.85
18,8,153.1